artista,id_artista
Tory Lanez,1
PinkPantheress,2
Eyedress,3
Jordana,4
Tate McRae,5
Olivia Rodrigo,6
Treaty Oak Revival,7
Billie Eilish,8
Justin Bieber,9
Ed Sheeran,10
Taylor Swift,11
Doja Cat,12
Jelly Roll,13
Drake,14
Cody Johnson,15
Adele,16
24kGoldn,17
Rauw Alejandro,18
The Marías,19
Lana Del Rey,20
Måneskin,21
Faye Webster,22
Bruno Mars,23
Lainey Wilson,24
Russ,25
Migos,26
Marshmello,27
Clairo,28
Hotel Ugly,29
Megan Moroney,30
Ryan Mack,31
Chase Matthew,32
DJ Khaled,33
Del Water Gap,34
Maroon 5,35
Colby Acuff,36
Matt Maltese,37
Lil Durk,38
The Weeknd,39
Gigi Perez,40
DJ Snake,41
Tems,42
Young Stoner Life,43
OneRepublic,44
Aventura,45
Nelly,46
Amaarae,47
Manuel Turizo,48
Various Artists,49
Feid,50
Tai Verdes,51
JP Saxe,52
Parker McCollum,53
Noah Kahan,54
Marc Seguí,55
beabadoobee,56
Magdalena Bay,57
Duran Duran,58
Bailey Zimmerman,59
Chayce Beckham,60
Joyner Lucas,61
LISA,62
Post Malone,63
Imagine Dragons,64
ACRAZE,65
Stellar,66
Tones And I,67
Chri$tian Gate$,68
Larry Fleet,69
Riton,70
ENHYPEN,71
Ethel Cain,72
D.O.D,73
LAGOS,74
Nessa Barrett,75
Regard,76
Mad Tsai,77
GAYLE,78
Holding Absence,79
Don Diablo,80
Men I Trust,81
Simple Plan,82
Corey Kent,83
Tiësto,84
Remi Wolf,85
Sam Hunt,86
Jervis Campbell,87
Nancy Sinatra,88
ROSÉ,89
Lost Frequencies,90
DaBaby,91
mazie,92
Madison Beer,93
Still Woozy,94
Cooper Alan,95
Kevin Gates,96
SZA,97
girl in red,98
Phoebe Bridgers,99
Sabrina Carpenter,100
Piso 21,101
DDG,102
Yebba,103
Japanese Breakfast,104
Twenty One Pilots,105
Coldplay,106
Hayden Coffman,107
Tainy,108
Lin-Manuel Miranda,109
Troye Sivan,110
NF,111
Jameson Rodgers,112
Morgan Wade,113
WILLOW,114
Benson Boone,115
Joel Corry,116
Camilo,117
mike.,118
Sadie Jean,119
The Neighbourhood,120
Internet Money,121
Ian Munsick,122
Stray Kids,123
Ryan Hurd,124
TWICE,125
Redferrin,126
Becky Hill,127
Videoclub,128
Glass Animals,129
Tommy James & The Shondells,130
Dua Lipa,131
Alex Warren,132
Manuel Medrano,133
Hot Mulligan,134
YOASOBI,135
BTS,136
Jenna Raine,137
TOMORROW X TOGETHER,138
Bella Poarch,139
Macabre Plaza,140
Jack Harlow,141
Ariana Grande,142
zzoilo,143
Disney,144
David Guetta,145
Chance Peña,146
Jazmine Sullivan,147
wave to earth,148
Lizzo,149
P!nk,150
The Paper Kites,151
aespa,152
vaultboy,153
MARINA,154
Skylar Grey,155
Gatlin,156
T-Pain,157
Josh Ross,158
benny blanco,159
IU,160
Ski Mask The Slump God,161
Jessie Murph,162
Shawn Mendes,163
Tech N9ne,164
Ginger Root,165
sammy rash,166
mgk,167
SEVENTEEN,168
girli,169
Bea Miller,170
IVE,171
Andy Grammer,172
Conan Gray,173
Nicki Minaj,174
jxdn,175
No Vacation,176
Avery Anna,177
Why Don't We,178
Alesso,179
Aimer,180
TALK,181
Galantis,182
ITZY,183
Elvie Shane,184
Vance Joy,185
Royal & the Serpent,186
FLETCHER,187
Charles Wesley Godwin,188
Jin,189
Lostboycrow,190
Maluma,191
Bryce Vine,192
Kyle Hume,193
young friend,194
Morray,195
ATEEZ,196
Drew Baldridge,197
The Oozes,198
Florida Georgia Line,199
Weezer,200
Matt Hansen,201
Sarah Kinsley,202
Cico P,203
Of Mice & Men,204
KSI,205
Connor Price,206
Lauren Spencer Smith,207
Bizarrap,208
blackbear,209
JID,210
Hiatus Kaiyote,211
MEDUZA,212
Zara Larsson,213
Lykke Li,214
Warren Zeiders,215
Ingrid Andress,216
Whitney Houston,217
Claire Rosinkranz,218
Diplo,219
HIXTAPE,220
Meek Mill,221
Aluna,222
ロクデナシ,223
Logan Mize,224
The Home Team,225
Yoke Lore,226
Jason Derulo,227
Kali Uchis,228
Sam Grow,229
chloe moriondo,230
Jessi Uribe,231
St. Lundi,232
Gavin Adcock,233
Selena Gomez,234
Babyboy AV,235
Anitta,236
Lucy Dacus,237
STAYC,238
A Day To Remember,239
Porter Robinson,240
Jamie Miller,241
Madonna,242
Lorde,243
Ruth B.,244
Normani,245
Jax,246
LANY,247
Capella Grey,248
Sech,249
Caleb Hearn,250
Only The Family,251
Mackenzy Mackay,252
Quinn XCII,253
ILLENIUM,254
Arrows in Action,255
Astrid S,256
Leith Ross,257
Tyga,258
BAEKHYUN,259
Joy Oladokun,260
Ella Langley,261
Sebastian Yatra,262
James Blake,263
Wizkid,264
Camila Cabello,265
Munn,266
You'll Never Get to Heaven,267
THE ANXIETY,268
Griff,269
Blxst,270
Judah & the Lion,271
Drew Holcomb & The Neighbors,272
ZAYN,273
Sarah Kang,274
Orion Sun,275
Brandi Carlile,276
Danielle Bradbery,277
Jean Dawson,278
Aminé,279
Arcane,280
LeeHi,281
King Gnu,282
Forest Blakk,283
Jackson Dean,284
Audien,285
Milky Chance,286
Kidd G,287
Black Veil Brides,288
88rising,289
Weeekly,290
Enrique Iglesias,291
Pitbull,292
Cautious Clay,293
Roosevelt,294
With Confidence,295
Lewis OfMan,296
Red Velvet,297
D.O.,298
1da Banton,299
The Pretty Reckless,300
Myd,301
Kizz Daniel,302
Lizzy McAlpine,303
Sub Urban,304
Fireboy DML,305
Matisse,306
須田景凪,307
Bebe Rexha,308
George Birge,309
Penelope Scott,310
Martin Garrix,311
Zach Hood,312
JEON SOMI,313
Curbi,314
Ramsey,315
Arcade Fire,316
Maná,317
Jackson Wang,318
Livingston,319
Josh Meloy,320
Fruit Bats,321
Creepy Nuts,322
Skrillex,323
Gorgon City,324
Halsey,325
Megan Thee Stallion,326
Erin Kinsey,327
Logic,328
Kelly Clarkson,329
Zack Tabudlo,330
The Offspring,331
Morat,332
Chord Overstreet,333
TINI,334
TAEMIN,335
charlieonnafriday,336
Tyler Booth,337
Rachel Grae,338
Lily Rose,339
Los Fabulosos Cadillacs,340
Unusual Demont,341
Addison Rae,342
