id_artista,tipo,título_canción,nombre_album,año,genre
1,track,The Color Violet,Alone At Prom,2021,pop
1,track,Lavender Sunflower,Alone At Prom,2021,pop
1,track,Lady Of Namek,Alone At Prom,2021,pop
1,track,And This is Just The Intro,PLAYBOY,2021,pop
1,track,Y.D.L.R.,PLAYBOY,2021,pop
1,track,‘87 Stingray,Alone At Prom,2021,pop
1,track,Pink Dolphin Sunset (feat. Tee),Alone At Prom,2021,pop
1,track,Distance,PLAYBOY,2021,pop
1,track,H.E.R.//Are You Dumb,PLAYBOY,2021,pop
1,track,Ballad of a Badman,Alone At Prom,2021,pop
1,track,...The Make Up,PLAYBOY,2021,pop
1,track,Lady of Neptune,PLAYBOY,2021,pop
1,track,Pluto’s Last Comet,Alone At Prom,2021,pop
1,track,Hurt From Mercury,Alone At Prom,2021,pop
1,track,Last Kiss Of Nebulon,Alone At Prom,2021,pop
1,track,Extravagant Bullshit//Nunchucks,PLAYBOY,2021,pop
1,track,Feels (feat. Chris Brown),PLAYBOY,2021,pop
1,track,The Color Violet,Alone At Prom,2021,rap
1,track,Lavender Sunflower,Alone At Prom,2021,rap
1,track,Lady Of Namek,Alone At Prom,2021,rap
1,track,And This is Just The Intro,PLAYBOY,2021,rap
1,track,Y.D.L.R.,PLAYBOY,2021,rap
1,track,‘87 Stingray,Alone At Prom,2021,rap
1,track,Pink Dolphin Sunset (feat. Tee),Alone At Prom,2021,rap
1,track,Distance,PLAYBOY,2021,rap
1,track,H.E.R.//Are You Dumb,PLAYBOY,2021,rap
1,track,Ballad of a Badman,Alone At Prom,2021,rap
1,track,...The Make Up,PLAYBOY,2021,rap
1,track,Lady of Neptune,PLAYBOY,2021,rap
1,track,Pluto’s Last Comet,Alone At Prom,2021,rap
1,track,Hurt From Mercury,Alone At Prom,2021,rap
1,track,Last Kiss Of Nebulon,Alone At Prom,2021,rap
1,track,Extravagant Bullshit//Nunchucks,PLAYBOY,2021,rap
1,track,Deceiving Eve,PLAYBOY,2021,rap
1,track,Feels (feat. Chris Brown),PLAYBOY,2021,rap
1,track,SKAT (feat. DaBaby),SKAT (feat. DaBaby),2021,rap
1,track,The Color Violet,The Color Violet,2021,rap
1,track,Lady Of Namek,Lady Of Namek,2021,rap
1,track,The Serve (It) Anthem,PLAYBOY,2021,rap
1,track,I LIKE,I LIKE,2022,pop
1,track,Sorry 4 What? // LV BELT,Sorry 4 What,2022,pop
1,track,Hennessy Memories,Sorry 4 What,2022,pop
1,track,I LIKE,I LIKE,2022,rap
1,track,Sorry 4 What? // LV BELT,Sorry 4 What,2022,rap
1,track,Hennessy Memories,Sorry 4 What,2022,rap
1,track,Bad Bitches Wrk @ Taboo,Sorry 4 What,2022,rap
2,track,Pain,to hell with it,2021,pop
2,track,Attracted to You,Attracted To You,2021,pop
2,track,I Must Apologise,to hell with it,2021,pop
2,track,Break It Off - Bonus,to hell with it,2021,pop
2,track,Just for Me,to hell with it,2021,pop
2,track,Passion,to hell with it,2021,pop
2,track,Pain,Pain,2021,pop
2,track,Break It Off,Break It Off,2021,pop
2,track,All My Friends Know,to hell with it,2021,pop
2,track,I Must Apologise,I must apologise,2021,pop
2,track,Just for Me,Just for me,2021,pop
2,track,Last Valentines,to hell with it,2021,pop
2,track,Noticed I Cried,to hell with it,2021,pop
2,track,Passion,Passion,2021,pop
2,track,Boy's a Liar,Boy's a liar,2022,pop
2,track,Picture in My Mind,Picture in my mind,2022,pop
2,track,Take Me Home,Take me home,2022,pop
2,track,Do You Miss Me?,Do you miss me?,2022,pop
2,track,Where You Are (feat. WILLOW),Where you are (feat. WILLOW),2022,pop
3,track,Something About You,Mulholland Drive,2021,pop
3,track,Body Dysmorphia,Mulholland Drive,2021,pop
3,track,Something About You,Mulholland Drive,2021,indie
3,track,Body Dysmorphia,Mulholland Drive,2021,indie
3,track,Something About You,Something About You,2021,indie
3,track,A GOOD LIFE,FULL TIME LOVER,2022,pop
3,track,FULL TIME LOVER,FULL TIME LOVER,2022,indie
3,track,A GOOD LIFE,FULL TIME LOVER,2022,indie
3,track,STILL IN LOVE,FULL TIME LOVER,2022,indie
4,track,Better in the Dark,Summer's Over,2021,pop
4,track,Summer's Over,Summer's Over,2021,pop
4,track,Sweet to Dream,Summer's Over,2021,pop
4,track,Lo on the Hi-Way,Summer's Over,2021,pop
4,track,Ordinary Day,Summer's Over,2021,pop
4,track,Better in the Dark,Summer's Over,2021,indie
4,track,Summer's Over,Summer's Over,2021,indie
4,track,Sweet to Dream,Summer's Over,2021,indie
4,track,Lo on the Hi-Way,Summer's Over,2021,indie
4,track,Ordinary Day,Summer's Over,2021,indie
4,track,The Party's Not Over,Summer's Over,2021,indie
5,track,you broke me first,TOO YOUNG TO BE SAD,2021,pop
5,track,rubberband,TOO YOUNG TO BE SAD,2021,pop
5,track,slower,TOO YOUNG TO BE SAD,2021,pop
5,track,working,working,2021,pop
5,track,r u ok,TOO YOUNG TO BE SAD,2021,pop
5,track,bad ones,TOO YOUNG TO BE SAD,2021,pop
5,track,she's all i wanna be,i used to think i could fly,2022,pop
5,track,uh oh,uh oh,2022,pop
5,track,feel like shit,i used to think i could fly,2022,pop
5,track,chaotic,i used to think i could fly,2022,pop
5,track,don't come back,i used to think i could fly,2022,pop
5,track,what would you do?,i used to think i could fly,2022,pop
5,track,what's your problem?,i used to think i could fly,2022,pop
5,track,go away,i used to think i could fly,2022,pop
6,track,deja vu,SOUR,2021,pop
6,track,good 4 u,SOUR,2021,pop
6,track,"jealousy, jealousy",SOUR,2021,pop
6,track,drivers license,SOUR,2021,pop
6,track,happier,SOUR,2021,pop
6,track,brutal,SOUR,2021,pop
6,track,hope ur ok,SOUR,2021,pop
6,track,good 4 u,SOUR,2021,pop
6,track,drivers license,SOUR,2021,pop
6,track,deja vu,SOUR,2021,pop
6,track,"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""","The Rose Song [From ""High School Musical: The Musical: The Series (Season 2)""]",2021,pop
6,track,"Even When/The Best Part - From ""High School Musical: The Musical: The Series (Season 2)""","Even When/The Best Part [From ""High School Musical: The Musical: The Series (Season 2)""]",2021,pop
6,track,brutal,SOUR,2021,pop
7,track,Missed Call,No Vacancy,2021,pop
7,track,No Vacancy,No Vacancy,2021,pop
7,track,Ode To Bourbon,No Vacancy,2021,pop
7,track,Irish Goodbye,No Vacancy,2021,pop
7,track,One Time Thing,No Vacancy,2021,pop
7,track,Postcard,No Vacancy,2021,pop
7,track,Tattooed Roses,No Vacancy,2021,pop
7,track,Boomtown,No Vacancy,2021,pop
7,track,Hometown,No Vacancy,2021,pop
7,track,Stay Tuned,Stay Tuned,2022,pop
8,track,Happier Than Ever,Happier Than Ever,2021,pop
8,track,Billie Bossa Nova,Happier Than Ever,2021,pop
8,track,Halley's Comet,Happier Than Ever,2021,pop
8,track,NDA,Happier Than Ever,2021,pop
8,track,Therefore I Am,Happier Than Ever,2021,pop
8,track,I Didn't Change My Number,Happier Than Ever,2021,pop
8,track,Getting Older,Happier Than Ever,2021,pop
8,track,Your Power,Happier Than Ever,2021,pop
8,track,Male Fantasy,Happier Than Ever,2021,pop
8,track,Oxytocin,Happier Than Ever,2021,pop
8,track,my future,Happier Than Ever,2021,pop
8,track,Lost Cause,Happier Than Ever,2021,pop
8,track,Happier Than Ever - Edit,Happier Than Ever (Edit),2021,pop
8,track,Not My Responsibility,Happier Than Ever,2021,pop
8,track,GOLDWING,Happier Than Ever,2021,pop
8,track,Everybody Dies,Happier Than Ever,2021,pop
8,track,OverHeated,Happier Than Ever,2021,pop
8,track,Getting Older,Happier Than Ever,2021,pop
8,track,Oxytocin,Happier Than Ever,2021,pop
8,track,Lo Vas A Olvidar (with ROSALÍA),Lo Vas A Olvidar (with ROSALÍA),2021,pop
8,track,Lost Cause,Happier Than Ever,2021,pop
8,track,Male Fantasy,Happier Than Ever,2021,pop
8,track,TV,Guitar Songs,2022,pop
8,track,The 30th,Guitar Songs,2022,pop
9,track,Ghost,Justice,2021,pop
9,track,Peaches (feat. Daniel Caesar & Giveon),Justice,2021,pop
9,track,Lonely (with benny blanco),Justice,2021,pop
9,track,Off My Face,Justice,2021,pop
9,track,Hold On,Justice,2021,pop
9,track,Anyone,Justice,2021,pop
9,track,Holy (feat. Chance The Rapper),Justice,2021,pop
9,track,Ghost,Justice,2021,pop
9,track,Unstable (feat. The Kid LAROI),Justice,2021,pop
9,track,Anyone,Anyone,2021,pop
9,track,2 Much,Justice,2021,pop
9,track,Hold On,Hold On,2021,pop
9,track,As I Am (feat. Khalid),Justice,2021,pop
9,track,Lifetime,Justice (Triple Chucks Deluxe),2021,pop
9,track,Loved By You (feat. Burna Boy),Justice,2021,pop
9,track,Deserve You,Justice,2021,pop
9,track,Die For You (feat. Dominic Fike),Justice,2021,pop
9,track,Red Eye (feat. TroyBoi),Justice (The Complete Edition),2021,pop
9,track,Honest (feat. Don Toliver),Honest,2022,pop
10,track,Shivers,=,2021,pop
10,track,Bad Habits,=,2021,pop
10,track,Overpass Graffiti,=,2021,pop
10,track,Visiting Hours,=,2021,pop
10,track,2step,=,2021,pop
10,track,First Times,=,2021,pop
10,track,Celestial,Celestial,2022,pop
10,track,2step (feat. Lil Baby),2step (feat. Lil Baby),2022,pop
10,track,The Joker And The Queen (feat. Taylor Swift),The Joker And The Queen (feat. Taylor Swift),2022,pop
11,track,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,pop
11,track,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,right where you left me - bonus track,evermore (deluxe version),2021,pop
11,track,Love Story (Taylor’s Version),Love Story (Taylor’s Version),2021,pop
11,track,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Red (Taylor's Version),2021,pop
11,track,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,22 (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,Red (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),2021,pop
11,track,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,All Too Well (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Red (Taylor's Version),2021,pop
11,track,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),2021,pop
11,track,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,pop
11,track,Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,pop
11,track,The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,pop
11,track,willow,evermore (deluxe version),2021,pop
11,track,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Red (Taylor's Version),2021,pop
11,track,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,pop
11,track,Begin Again (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,it’s time to go - bonus track,evermore (deluxe version),2021,pop
11,track,Treacherous (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,White Horse (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,State Of Grace (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,‘tis the damn season,evermore (deluxe version),2021,pop
11,track,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,ivy,evermore (deluxe version),2021,pop
11,track,Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,pop
11,track,Holy Ground (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,gold rush,evermore (deluxe version),2021,pop
11,track,"no body, no crime (feat. HAIM)",evermore (deluxe version),2021,pop
11,track,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,cowboy like me,evermore (deluxe version),2021,pop
11,track,I Almost Do (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Red (Taylor's Version),2021,pop
11,track,Stay Stay Stay (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,pop
11,track,The Moment I Knew (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,coney island (feat. The National),evermore (deluxe version),2021,pop
11,track,The Lucky One (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,happiness,evermore (deluxe version),2021,pop
11,track,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,long story short,evermore (deluxe version),2021,pop
11,track,You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,dorothea,evermore (deluxe version),2021,pop
11,track,marjorie,evermore (deluxe version),2021,pop
11,track,If This Was A Movie (Taylor’s Version),If This Was A Movie (Taylor’s Version),2021,pop
11,track,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,pop
11,track,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Mr. Perfectly Fine (Taylor’s Version) (From The Vault),2021,pop
11,track,Starlight (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,pop
11,track,Girl At Home (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,closure,evermore (deluxe version),2021,pop
11,track,Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,2021,pop
11,track,The Best Day (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,pop
11,track,Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,Untouchable (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,Eyes Open (Taylor's Version),Eyes Open (Taylor's Version),2021,pop
11,track,Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,pop
11,track,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,pop
11,track,Change (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,Ronan (Taylor's Version),Red (Taylor's Version),2021,pop
11,track,Superstar (Taylor’s Version),Fearless (Taylor's Version),2021,pop
11,track,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),2021,pop
11,track,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,pop
11,track,Anti-Hero,Midnights,2022,pop
11,track,Karma,Midnights,2022,pop
11,track,"You're On Your Own, Kid",Midnights,2022,pop
11,track,Lavender Haze,Midnights,2022,pop
11,track,Bejeweled,Midnights,2022,pop
11,track,Midnight Rain,Midnights,2022,pop
11,track,Maroon,Midnights,2022,pop
11,track,Mastermind,Midnights,2022,pop
11,track,"Would've, Could've, Should've",Midnights (3am Edition),2022,pop
11,track,The Great War,Midnights (3am Edition),2022,pop
11,track,Snow On The Beach (feat. Lana Del Rey),Midnights,2022,pop
11,track,Question...?,Midnights,2022,pop
11,track,Paris,Midnights (3am Edition),2022,pop
11,track,Mastermind,Midnights (3am Edition),2022,pop
11,track,This Love (Taylor’s Version),This Love (Taylor’s Version),2022,pop
11,track,"Would've, Could've, Should've",Midnights (3am Edition),2022,pop
11,track,High Infidelity,Midnights (3am Edition),2022,pop
11,track,Karma,Midnights (3am Edition),2022,pop
11,track,Dear Reader,Midnights (3am Edition),2022,pop
11,track,Maroon,Midnights (3am Edition),2022,pop
11,track,Glitch,Midnights (3am Edition),2022,pop
11,track,"You're On Your Own, Kid",Midnights (3am Edition),2022,pop
11,track,Bejeweled,Midnights (3am Edition),2022,pop
11,track,Midnight Rain,Midnights (3am Edition),2022,pop
11,track,Lavender Haze,Midnights (3am Edition),2022,pop
11,track,Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),2022,pop
11,track,Anti-Hero,Midnights (3am Edition),2022,pop
11,track,The Great War,Midnights (3am Edition),2022,pop
11,track,Question...?,Midnights (3am Edition),2022,pop
11,track,Paris,Midnights (3am Edition),2022,pop
12,track,Kiss Me More (feat. SZA),Planet Her,2021,pop
12,track,Woman,Planet Her,2021,pop
12,track,Ain't Shit,Planet Her,2021,pop
12,track,Need to Know,Planet Her,2021,pop
12,track,You Right,Planet Her,2021,pop
12,track,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),2021,pop
12,track,Been Like This,Planet Her,2021,pop
12,track,Streets - Silhouette Remix,Streets (Silhouette Remix),2021,pop
12,track,I Don't Do Drugs (feat. Ariana Grande),Planet Her,2021,pop
12,track,Options (feat. JID),Planet Her,2021,pop
12,track,Naked,Planet Her,2021,pop
12,track,You Right,You Right,2021,pop
12,track,Love To Dream,Planet Her,2021,pop
12,track,Up And Down,Planet Her (Deluxe),2021,pop
12,track,You Right - Extended,Planet Her (Deluxe),2021,pop
12,track,Alone,Planet Her,2021,pop
12,track,Need to Know,Need to Know,2021,pop
12,track,Woman,Planet Her,2021,pop
