artista,tipo,título_canción,nombre_album,año,genre
Tory Lanez,track,The Color Violet,Alone At Prom,2021,pop
PinkPantheress,track,Pain,to hell with it,2021,pop
Eyedress,track,Something About You,Mulholland Drive,2021,pop
Jordana,track,Better in the Dark,Summer's Over,2021,pop
Tate McRae,track,you broke me first,TOO YOUNG TO BE SAD,2021,pop
Olivia Rodrigo,track,deja vu,SOUR,2021,pop
Olivia Rodrigo,track,good 4 u,SOUR,2021,pop
Treaty Oak Revival,track,Missed Call,No Vacancy,2021,pop
Billie Eilish,track,Happier Than Ever,Happier Than Ever,2021,pop
Justin Bieber,track,Ghost,Justice,2021,pop
Ed Sheeran,track,Shivers,=,2021,pop
Olivia Rodrigo,track,"jealousy, jealousy",SOUR,2021,pop
Olivia Rodrigo,track,drivers license,SOUR,2021,pop
Taylor Swift,track,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,pop
Doja Cat,track,Kiss Me More (feat. SZA),Planet Her,2021,pop
Doja Cat,track,Woman,Planet Her,2021,pop
Treaty Oak Revival,track,No Vacancy,No Vacancy,2021,pop
Jelly Roll,track,Son Of A Sinner,Ballads of the Broken,2021,pop
Drake,track,Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,2021,pop
Drake,track,Fair Trade (with Travis Scott),Certified Lover Boy,2021,pop
Cody Johnson,track,'Til You Can't,Human The Double Album,2021,pop
Adele,track,Easy On Me,30,2021,pop
24kGoldn,track,Mood (feat. iann dior),El Dorado,2021,pop
Rauw Alejandro,track,Desesperados,VICE VERSA,2021,pop
The Marías,track,Heavy,CINEMA,2021,pop
Drake,track,Wants and Needs (feat. Lil Baby),Scary Hours 2,2021,pop
PinkPantheress,track,Attracted to You,Attracted To You,2021,pop
Olivia Rodrigo,track,happier,SOUR,2021,pop
Lana Del Rey,track,Chemtrails Over The Country Club,Chemtrails Over The Country Club,2021,pop
Taylor Swift,track,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),2021,pop
Drake,track,Yebba’s Heartbreak,Certified Lover Boy,2021,pop
Treaty Oak Revival,track,Ode To Bourbon,No Vacancy,2021,pop
Olivia Rodrigo,track,brutal,SOUR,2021,pop
Måneskin,track,I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,2021,pop
Faye Webster,track,In A Good Way,I Know I'm Funny haha,2021,pop
Rauw Alejandro,track,Todo De Ti,VICE VERSA,2021,pop
Ed Sheeran,track,Bad Habits,=,2021,pop
Billie Eilish,track,Billie Bossa Nova,Happier Than Ever,2021,pop
Bruno Mars,track,Leave The Door Open,An Evening With Silk Sonic,2021,pop
Taylor Swift,track,right where you left me - bonus track,evermore (deluxe version),2021,pop
Billie Eilish,track,Halley's Comet,Happier Than Ever,2021,pop
